,date,prcp
953,2017-01-21,0.08
954,2017-01-22,0.16
955,2017-01-22,0.01
956,2017-01-22,0.04
957,2017-01-22,0.09
958,2017-01-22,0.72
959,2017-01-23,0.0
960,2017-01-23,0.08
961,2017-01-23,
962,2017-01-23,
963,2017-01-23,0.0
964,2017-01-23,0.01
965,2017-01-23,0.85
966,2017-01-24,0.04
967,2017-01-24,0.15
968,2017-01-24,
969,2017-01-24,0.08
970,2017-01-24,0.13
971,2017-01-24,1.85
972,2017-01-25,0.03
973,2017-01-25,0.12
974,2017-01-25,
975,2017-01-25,
976,2017-01-25,0.0
977,2017-01-25,0.79
978,2017-01-25,2.64
979,2017-01-26,0.0
980,2017-01-26,0.0
981,2017-01-26,0.01
982,2017-01-26,0.0
983,2017-01-26,0.0
984,2017-01-26,0.0
985,2017-01-26,0.1
986,2017-01-27,0.0
987,2017-01-27,0.0
988,2017-01-27,0.0
989,2017-01-27,0.0
990,2017-01-27,0.0
991,2017-01-27,0.03
992,2017-01-27,0.03
993,2017-01-28,0.0
994,2017-01-28,0.14
995,2017-01-28,0.0
996,2017-01-28,0.0
997,2017-01-28,0.0
998,2017-01-29,0.18
999,2017-01-29,0.0
1000,2017-01-29,
1001,2017-01-29,0.26
1002,2017-01-29,0.55
1003,2017-01-30,0.0
1004,2017-01-30,0.0
1005,2017-01-30,
1006,2017-01-30,0.05
1007,2017-01-30,0.0
1008,2017-01-30,0.0
1009,2017-01-30,0.0
1010,2017-01-31,0.0
1011,2017-01-31,0.0
1012,2017-01-31,0.0
1013,2017-01-31,0.0
1014,2017-01-31,0.0
1015,2017-01-31,0.0
1016,2017-01-31,0.0
1017,2017-02-01,0.0
1018,2017-02-01,0.0
1019,2017-02-01,0.0
1020,2017-02-01,0.0
1021,2017-02-01,0.0
1022,2017-02-01,0.0
1023,2017-02-01,0.0
1024,2017-02-02,0.0
1025,2017-02-02,0.0
1026,2017-02-02,0.0
1027,2017-02-02,0.0
1028,2017-02-02,0.0
1029,2017-02-02,0.0
1030,2017-02-02,0.0
1031,2017-02-03,0.0
1032,2017-02-03,0.0
1033,2017-02-03,0.0
1034,2017-02-03,0.0
1035,2017-02-03,0.0
1036,2017-02-03,0.0
1037,2017-02-04,0.0
1038,2017-02-04,0.0
1039,2017-02-04,0.0
1040,2017-02-04,0.0
1041,2017-02-04,
1042,2017-02-05,0.0
1043,2017-02-05,0.0
1044,2017-02-05,
1045,2017-02-05,0.0
1046,2017-02-05,0.0
1047,2017-02-05,0.0
1048,2017-02-06,0.0
1049,2017-02-06,0.16
1050,2017-02-06,0.04
1051,2017-02-06,
1052,2017-02-06,0.0
1053,2017-02-06,0.18
1054,2017-02-06,0.0
1055,2017-02-07,0.51
1056,2017-02-07,1.08
1057,2017-02-07,0.9
1058,2017-02-07,0.0
1059,2017-02-07,1.8
1060,2017-02-07,1.32
1061,2017-02-07,1.79
1062,2017-02-08,0.0
1063,2017-02-08,1.08
1064,2017-02-08,0.0
1065,2017-02-08,0.0
1066,2017-02-08,0.0
1067,2017-02-08,0.0
1068,2017-02-08,0.0
1069,2017-02-09,0.0
1070,2017-02-09,0.02
1071,2017-02-09,0.0
1072,2017-02-09,0.0
1073,2017-02-09,0.0
1074,2017-02-09,0.0
1075,2017-02-09,0.0
1076,2017-02-10,0.0
1077,2017-02-10,0.0
1078,2017-02-10,0.0
1079,2017-02-10,0.0
1080,2017-02-10,0.0
1081,2017-02-10,0.0
1082,2017-02-10,0.0
1083,2017-02-11,0.31
1084,2017-02-11,1.0
1085,2017-02-11,2.39
1086,2017-02-11,5.04
1087,2017-02-11,1.73
1088,2017-02-11,0.73
1089,2017-02-12,2.62
1090,2017-02-12,1.07
